,method,num_clusters,sse,silhouette,calinski-harabasz,davies-bouldin,eps,min_sample,linkage,threshold,branching_factor
13,dbscan,17,,-0.12216551822369583,90.82710592649234,2.0502446832275325,1.25,3,,,
14,dbscan,26,,-0.03468916971460063,87.80186377966213,1.5504169884274137,1.5,3,,,
15,dbscan,27,,-0.03043320830909944,96.69885426733438,1.5443754670082284,1.75,3,,,
16,dbscan,29,,0.076121002398521,106.81604314326414,1.5903064890270635,2.0,3,,,
17,dbscan,20,,0.09796264633502264,152.49758224608144,1.7191007101535836,2.25,3,,,
18,dbscan,16,,0.1820343183935758,200.506497197414,1.7461932749094276,2.5,3,,,
19,dbscan,12,,0.3560082844989538,278.3668364510786,1.8563942622995544,2.75,3,,,
20,dbscan,11,,0.37879730356099406,308.65434428004096,1.7936897521461752,3.0,3,,,
21,dbscan,9,,0.36793714329964056,328.89970415705847,1.9227231746723805,3.25,3,,,
22,dbscan,8,,0.36947955879040106,379.5645093485197,1.9277803032934302,3.5,3,,,
23,dbscan,7,,0.5530383824395239,440.4492072840336,1.911114246416179,3.75,3,,,
24,dbscan,13,,-0.2877496227242842,116.043523534805,2.4109952740412095,1.0,4,,,
25,dbscan,4,,0.18428743753722404,462.36864025410256,4.010459544946011,1.25,4,,,
26,dbscan,13,,-0.004550132875197063,151.3457704348805,1.8613355748361127,1.5,4,,,
27,dbscan,16,,0.027249369978455725,141.22289788466216,1.725431838644667,1.75,4,,,
28,dbscan,17,,0.2085589206599026,160.36165433138314,1.6346352448001928,2.0,4,,,
29,dbscan,17,,0.26097069517169036,183.23626390567975,1.6402004115828526,2.25,4,,,
30,dbscan,13,,0.358364094329088,247.8873333773412,1.8230661947266082,2.5,4,,,
31,dbscan,9,,0.3762540544711423,359.21720093213514,2.1782281660833385,2.75,4,,,
32,dbscan,9,,0.4992378402377167,372.90784576514824,2.0284896094749514,3.0,4,,,
33,dbscan,7,,0.5414645441601159,426.38013148986477,2.0984287157871155,3.25,4,,,
34,dbscan,7,,0.5500116719343643,438.4856897076353,1.9938177917994586,3.5,4,,,
35,dbscan,7,,0.5525780994738859,438.4336809556953,1.930528504491061,3.75,4,,,
36,dbscan,8,,-0.2343408793336953,172.79113386036204,3.031961133689799,1.0,5,,,
37,dbscan,4,,0.1826735120932868,457.7936983200783,4.110027212238559,1.25,5,,,
38,dbscan,8,,-0.007224291030723477,214.66704705146265,2.640555474656455,1.5,5,,,
39,dbscan,11,,0.1883471546870564,176.3101124845185,1.9713668237528845,1.75,5,,,
40,dbscan,11,,0.2665811009530497,215.79951627509163,1.911221026818324,2.0,5,,,
41,dbscan,11,,0.25861816372521684,234.4452477494811,1.9513981163357448,2.25,5,,,
42,dbscan,11,,0.3488967627979398,273.3755696360112,2.020616661855419,2.5,5,,,
43,dbscan,7,,0.3741730711071096,434.44215607227886,2.447869872909903,2.75,5,,,
44,dbscan,6,,0.49799046604728153,534.61880170857,2.547082405750134,3.0,5,,,
45,dbscan,5,,0.5487237883350872,592.3008894196039,2.5943096302709505,3.25,5,,,
46,dbscan,6,,0.553225121958475,495.66923609987066,2.26418786829241,3.5,5,,,
47,dbscan,6,,0.5547838203058556,498.51118664055673,2.190053024037842,3.75,5,,,
0,agglomerative,2,,0.7865157774522229,1972.7261500134287,0.32102313577711733,,,ward,,
1,agglomerative,3,,0.24278200412626122,1904.6672833075943,1.0887277000932212,,,ward,,
2,agglomerative,4,,0.20582710771191862,1580.595504080108,1.3575798425823427,,,ward,,
3,agglomerative,5,,0.21267681732127655,1402.5878961819587,1.191237287272374,,,ward,,
4,agglomerative,6,,0.18263637405569633,1288.0272026224307,1.3676047800800377,,,ward,,
