locus_tag,LanzaTech,MeOH,NO3_lowO2_slow_growth,NoCu,NoLanthanum,WT_control,WithLanthanum,aa3_KO,crotonic_acid,highCu,highO2_slow_growth,lowCH4,lowCu,lowO2_fast_growth,lowO2_low_iron_fast_growth,lowO2_slow_growth,medCu,slow_growth,uMax,unknown
EQU24_RS12500,-0.5316677144501514,-0.6071909473658906,-0.7679558803434362,-0.433603426195922,-0.7848173891971927,-0.5595348230898233,-0.615381665402838,-0.6952688225522019,-0.0858488659998193,-0.1858771398604052,-1.1301726826741383,-0.48878948612298795,-0.4205680571559308,0.5042104647778068,-0.8381336240854111,-0.5162997245669557,-0.19355811683353855,-0.8660785578665726,0.0587653250670316,-1.2014783902060744
EQU24_RS12510,-0.8661150403229366,0.5032590116614605,-0.20986768207515386,-0.01707516926972771,-0.1128643357521878,-0.31711555610536285,-0.0626779357911241,-0.5233591487609365,0.08081209989018835,0.19962526004664274,-0.14945891452708412,0.30844976474949576,0.02507272455607576,0.5984340069350284,0.24160060075605327,-0.17954339033224634,0.24555285655628895,-0.11698754032511531,0.1905059416217958,-0.584305263468281
EQU24_RS12515,-1.5704004871945916,-0.5465020176576048,0.09359659928298676,-0.30779054768720243,-0.8455662840019575,-0.636685754642275,-0.5280382903083959,-0.7378059263404536,-0.15442000283030113,-0.1357754914217943,-0.35934521050837365,-0.051963231523455645,-0.20729672260329626,0.8479292265471953,-0.008425809721383359,-0.3155758876202853,0.09446718492759361,-0.4904857500424699,0.1885100404891874,-1.1635203896245507
EQU24_RS12520,-1.6306731686129425,-0.20321115445765128,0.14038554518640864,-0.11193515418416894,0.47372833515631685,-0.27102516804222654,0.7739107368987128,-0.8210032059669103,-0.08796984837558412,0.01039500432592006,-0.4357545691286398,0.14789674985104206,-0.0864611175198467,0.8557350514508772,0.14006906581397938,0.4044287350134361,0.34796403400844056,-0.48439908331420223,0.19869138231673267,-0.3045529503860023
EQU24_RS12525,0.7267684653965832,3.650729319499764,0.22765615756493124,0.11833004375515813,-0.008681150407055343,0.8279982360951914,0.28779305809649813,0.4032436680430312,0.4206649789684439,0.10549792127944972,-0.03133864474827556,1.73798450499278,0.2772839291878517,1.086366149040667,1.4553467669201356,1.9591004759134751,0.370829063923467,-0.1494364339916315,0.23548788550916608,1.2588517222676088
EQU24_RS12535,0.44620955026555525,0.12180367683309151,-0.11688479844999562,-0.2808461096488582,0.23077410677961382,-0.2165630321734138,0.3520797367270813,-0.40412871062340344,0.5682876755449626,-0.190260808502917,-0.11069687416480295,0.1621607398372522,-0.39163577189006415,0.3966877073517977,0.1026688046916976,-0.23763022520011068,-0.30441643962910014,-0.49010378010241207,0.16656405529792623,0.29114384873686266
EQU24_RS12540,0.23200487857733187,0.33965505637890264,0.06013135300403358,-0.28820383619405116,0.28533124352576833,-0.042403873560692154,0.34186878750593347,-0.12469864749413614,0.6126873655708881,-0.40870274216934344,0.08424682193942347,0.07755335857146776,-0.20119278926250986,0.43053658367462916,-0.061993862727961306,-0.38389032884409197,-0.17969378474352782,-0.197799489582006,0.16564347103993415,-0.17705869243607794
EQU24_RS12545,0.35632103875646587,-1.1767359205917896,0.7391599778171913,0.3801634895085782,1.002277013889725,1.25311245757067,0.9311573610975478,1.2575052009025673,0.8146209637768985,0.7038640079836116,-0.4531143593069595,1.4849899127664261,0.23991874584517564,0.21558044102080215,0.6450011902239765,0.4629119589598138,0.22020837418769285,1.338535548682448,0.22263840875221663,0.21259517724667903
EQU24_RS12550,-0.25714850153106733,0.05779757355974526,0.1274390225789521,-0.04760383026717457,0.13778678488263726,0.05109374344512105,0.05585699257565972,-0.026537127929908266,0.7522295443387653,-0.03917815799245334,0.18208019535548486,0.49264568393982155,-0.33172871923444963,0.1443170284908649,-0.22833983333304267,-0.11727008908695503,-0.33463429158254576,0.00324661168441685,0.1977978039562827,-0.2971286814962713
EQU24_RS12555,0.3536513900675165,-0.010789506247348155,-0.0182023705921101,-0.2535177591197406,-0.32017253383902633,-0.1428181251075987,-0.4606681081871471,-0.48235385201660375,0.6052693247837695,-0.1828125582542498,0.08277540737684541,0.07197745540513201,-0.28090301634915815,0.05365343292574283,-0.40173451716231795,-0.29538208264741733,-0.3484065394572208,-0.16353429951964796,0.1777858656231459,-0.5111524639269934
EQU24_RS12560,0.14507417188567961,0.20428406888396408,-0.4487778611238275,-0.4465243574980214,-0.9471955079329992,-0.2699384854947011,-0.9576435277907563,-0.6484507361100103,0.35772356647626546,-0.30037846963354264,0.025182540475697072,0.18385263062315213,-0.3080498915373573,-0.14009067397995256,-0.38475086771199307,-0.8909888730039678,-0.2754575486119875,-0.634614211332682,0.18635967390390246,-0.9638749387874245
